!	!, хороший ход, сильный ход
!!	!!, прекрасный ход, блестящий ход
!?	!?, ход, приводящий к неясным осложнениям
-dimensional	-мерный (mérnyj)
spell	произносить по буквам (proiznosít’ po búkvam)
spelling	правописание (pravopisánije) (n)
spend	тратить (trátit’)
sperm	сперма (spérma) (f)
sperm whale	кашалот (m)
sphere	сфера (sféra) (f)
sphere	шар (šar) (m), сфера (sf'éra) (f)
sphere	шар (šar) (m), сфера (sf'éra) (f)
spider	паук (paúk) (m)
spiderwort	традесканция (trad'eskáncija) (f), паучник (paúčnik) (m)
spike	атакa (f), атакующий удар (m), нападающий удар (m), удар (m)
spike	штырь (m), шпиль (špil') (m), шип (šyp) (m)
spike	штырь (štyr') (m), костыль (kostýl') (f), нагель (nágel) (m)
spill	проливать/пролить (prolivát'/prolít')
spinach	шпинат (m) (shpinat)
spinal cord	спинной мозг (spinnój mozg) (m)
spirit	алкоголь (alkogól’) (m)
spirit	дух (duχ) (m)
spirit	душа (dušá) (f)
spirit	привидение (prividénije) (n)
spirit level	спиртовой уровень (m), пузырьковый уровень
spirits	спирт (1) (m) /spirt/, ду́ши (2) "plural" /dooshi/
spiritual	духовный (m), духовная (f), духовное (n), духовные (pl)
spit	вертел (v'ért'el) (m)
spit	плевать/плюнуть (pl'evát'/pl'únut')
spleen	селезёнка (selezjónka) (f)
splendid	великолепный (velikolépnyj)
split	разделять / разделить (razdelját’, razdelít’)
split	расщеплять / расщеплить (rasščeplját’, rasščeplít’)
spoil	баловать
spoil	испортить
spoil	прокиснуть ("of liquid foods"), скиснуть ("of liquid foods"), испортиться ("of solid foods")
spoil	трофей (m)
spoilt	испорченный (ispórčennyj)
sponge	губка (f) (gubka)
spoon	ложка (lóžka) (f)
sport	спорт (sport) (m)
spot	взять в долг (vzjat’ v dolg)
spot	заметить (zamétit’), увидеть (uvídet’)
spot	оставить пятно (ostávit’ pjatnó)
spot	пятно (pjatnó) (n)
spouse	супруг (m), супруга (f)
sprat	килька /kíl'ka/ (f), шпрот /šprot/ (m)
spread	распространять (rasprostranját’)
spring	весна (vesná) (f)
spring	источник (istóčnik) (m), ключ (kl'uč) (m), родник (rodník) (m)
spring	пружина (pružína) (f)
spring	прыгать (prýgat') "imperf", скакать (skakát') "imperf"
spruce	еловый (jelóvyj)
spruce	ель (jel’) (f)
spruce	ель (jel’) (f)
spruce	нарядный (nar'ádnyj), элегантный (el'egántnyj), изящный (iz'áš'nyj), щеголеватый (š'egol'evátyj)
spurge	молочай (moločáj) (m)
spy	агент (agént) (m), шпион (špión) (m), шпионка (špiónka) (f)
spy	шпионить (špiónit’)
square	квадрат (kvadrát) (m)
square	квадратный (kvadrátnyj)
square	площадь (plóščad) (f)
square	угольник (m)
square away	закруглиться
square root	квадратный корень (m)
squeeze	сжимать (sžimát’)
squid	кальмар (kal’már) (m)
squint	косой взгляд
squirrel	белка (belka) (f)
stab	колотая рана (f)
stab	попытка (f)
stab	удар (m)
stadium	стадион [stadion] &quot;m&quot;
stag	благородный олень (blagoródnyj olén’) (m), настоящий олень (nastojáščij olén’) (m)
stag	олень (olén’) (m)
stag beetle	жук-олень (žuk-olén’) (m)
stag-beetle	жук-олень (m)
stage	сцена (stséna) (f)
stainless steel	нержавеющая сталь (neržavéjuščaja stal’) (f)
stair	лестница (léstnitsa) (f)
stairs	лестница (léstnitsa) (f)
stake	кол (m) (kol)
stake	кол (m) (kol)
stake	укрепить
stalemate	пат (pat) (m)
stallion	жеребец (žer'eb'éc) (m)
stand	вставать/встать (vstavát’/vstat')
stand	выдерживать/выдержать (vyd'érživat’/výd'eržat'), выстоять (výstojat')
stand	выносить/вынести (vynosít’/výn'esti), выдерживать/выдержать (vyd'érživat’/výd'eržat')
stand	ларёк (lar'ók) (m), киоск (kiósk), палатка (palátka) (m)
stand	позиция (pozícija) (f), сопротивление (soprotovl'énije) (n)
stand	пьедестал (p'esd'estál) (m) "of a statue", подставка (podstávka) (f), этажерка (etažérka) (f), консоль (konsól') (f), подпора (podpóra) (f), стойка (stójka) (f), штатив (štatív) (m), стеллаж (st'elláž)
stand	ставить/поставить (stávit'/postávit')
stand	стоянка (stojánka) (f)
stand	стоять (stoját’)
stand	стоять (stoját’)
stanza	строфа, станс
stapler	сшива́тель (m) (sshiv&amp;aacute;tel'), сте́плер (stepler)
star	звезда (zvezdá) (f)
star	звезда (zvezdá) (f)
star	звезда (zvezdá) (f)
starch	крахмал (kraχmál) (m)
starling	скворец (skvoréts) (m)
start	начать
start off on the wrong foot	встать не с той ноги, не задаться
start over	начать заново, начать с начала
starvation	голодание (golodánije) (n)
state	государство (gosudárstvo) (n) (1), штат (štat) (n) (2)
state	заявлять (zajavlját’)
statement	заявление (zajavlénije) (n), изложение (izložénije) (n)
station	станция (stántsija) (f)
statistics	статистика (statístika) (f)
statue	статуя (státuja) (f)
status	положение (položénije) (n), состояние (sostojánije) (n), статус (státus) (m)
stay	оставаться/остаться (ostavát's'a/ostát's'a)
stay	оставаться/остаться (ostavát's'a/ostát's'a)
stay	откладывать/отложить (otkládyvat'/otložít')
stay	отсрочка (otsróčka)
steak	бифштекс (bifštéks) (m)
steal	краcть (krast’)
steam	пар (par) (m)
steel	сталь (stal’) (f)
steel	стальной /stal'nój/
steep	крутой (krutój)
stem	стержень (stéržen’) (m), ствол (stvol) (m), (ling.) основа (osnóva) (f)
stem cell	стволовая клетка (stvolovaja kletka) (f)
step	шаг (šag) (m)
step	шагать (šagát’), шагнуть (šagnút’)
stepbrother	сводный брат (svódnyj brat)
stepdaughter	падчерица (pádčerica) (f)
stepfather	отчим (otchim)
stepmother	мачеха (machekha)
steppe	степь (f) (step')
stepson	пасынок (pásynok) (m)
stereo	стереосистема (f)
sterilize	простерилизовать (prosterilizovat')
stern	корма (f) (kormá)
stern	строгий, суровый
steroid	стероид
stick	вкалывать (vkályvat’), втыкать (vtykát’)
stick	застревать (zastrevat’), защемлять (zaščemlját’)
stick	палка (pálka) (f)
stick	приклеивать (prikléivat’)
stick	приклеиваться (prikléivat’sja), прилипать (prilipát’)
stick	трость (trost’) (f)
stick insect	палочник (páločnik) (m)
sticking plaster	лейкопластырь (m)
stickleback	колюшка /kól'uška/ (f)
stiff	упрямый, жесткий
stilb	стильб (stil’b) (m)
still	всё ещё (vsjo ješčó)
stillbirth	мертворождение (mertvorozhdeniye)
stingray	хвостокол /χvostokól/ (m), морской кот /morskój kot/ (m)
stingy	скупой (skupój)
stink	вонь (von') (f)
stink	вонять (von'át')
stir	размешивать (razméšivat’)
stir up	??????? ??????
stirrup	стремя (strémja) (n)
stock	"animals": скот (skot) (m)
stock	акция (áktsija) (f), ценная бумага (tsénnaja bumága) (f)
stock	ассортимент (assortimént) (m)
stock	запас (zapás) (m)
stock	мясной отвар (mjasnój otvár) (m)
stock	приклад (priklád) (m)
stocking	чулок (čulók) (m)
stomach	желудок (želúdok) (m)
stomach	живот (živót) (m)
stone	камень (kámen’) (m)
stool	стул (stul) (m)
stool	табурет (taburét) (m), табуретка (taburétka) (m)
stool pigeon	наседка (brood hen), подсадная утка
stop	затыкать/заткнуть (zatykát'/zatknút')
stop	знак препинания (znak pr'epinánija) (m)
stop	клапан (klápan) (m)
stop	ограничитель (ograničít'el') (m), останов (ostanóv) (m), стопор (stópor) (m)
stop	останавливать/остановить (ostanávlivat’/ostanovít')
stop	останавливаться/остановиться (ostanávlivat's'a/ostanovít's'a)
stop	останавливаться/остановиться (ostanávlivat's'a/ostanovít's'a)
stop	останавливаться/остановиться (ostanávlivat's'a/ostanovít's'a)
stop	остановка (ostanóvka) (f)
stop	остановка (ostanóvka) (f)
stop	переставать/перестать (p'er'estavát’/p'er'estát'), прекращаться/прекратиться (pr'ekraš'át's'a/pr'ekratít's'a)
stop	прекращать/прекратить (pr'ekraš'át/pr'ekratít)
stork	аист (aist)
storm	буря (búrja, "windstorm") (f), гроза (grozá, "thunderstorm") (f), шторм (m); ("assault") штурм (m)
storm in a tea-kettle	буря в стаане воды ("storm in a glass of water")
story	рассказ (rasskáz) (m), повесть (póvest’) (f)
story	этаж (etáž) (m)
stove	печь (peč’) (f)
stove	плита (plita) (f)
straight	прямой (prjamój)
strait	пролив (m)
strange	странный (stránnyj) (m)
strawberry	земляника (zemljaníka) (f) ("wild"), клубника (klubníka) (f) ("cultivated")
strawberry	земляника (zemljaníka) (f) ("wild"), клубника (klubníka) (f) ("cultivated")
strawberry	земляничный (zemljaníčnyj), клубничный (klubníčnyj)
stream	поток (potók) (m), ручей (ručéj) (m)
street	улица (úlitsa) (f)
strength	сила (síla) (f)
stress	напряжение (naprjažénije) (n)
stress	ударение (udarénije) (n)
stretch	вытягивать (vytjágivat’)
strict	строгий (strógij)
strike	забастовка (zabastóvka)
strike while the iron is hot	Куй железо, пока горячо
string	бечёвка (bečóvka) (f)
strong	крепкий (kr'épkij)
strong	крепкий (kr'épkij), сильнодействующий (sil'nod'éjstvujuš'ij)
strong	мощный (móšnyj)
strong	прочный (próčnyj), крепкий (kr'épkij), стойкий (stójkij)
strong	резкий (r'ézkij)
strong	резкий (r'ézkij), яркий (járkij) "color"
strong	сильный (síl'nyj), неправильный (n'eprávil'nyj)
strong	сильный (síl’nyj), мощный (móšnyj)
strong	стойкий (stójkij)
strontium	стронций (stróntsij) (m)
strontium 90	стронций-90 (стронций-девяносто) (stróntsij-90, stróntsij-devjanósto) (m)
struggle	борьба (bor’bá) (f)
stubble	стерня (st'érn'a) (f), жнивьё (žniv'jó) (n)
stubble	щетина (š'etína) (f)
stubborn	упорный (upórnyj)
student	студент (studént) (m), студентка (studéntka) (f)
student	студент (studént) (m), студентка (studéntka) (f)
study	изучать (izučát’)
stuff	вещество (n) (veshchestvo)
stuff	заполнить (zapolnit')
stumbing-block	камень преткновения
stumbling block	камень преткновения
stupendous	изумительный; громадный; огромный; грандиозный, колоссальный
stupid	глупый (glúpyj), тупоумный(tupoúmnyj)
sturgeon	осётр (m) (osjótr)
stye	свинарник (svinárnik) (m), хлев (χl'ev) (m)
stye	ячмень (jačm'én') (m)
style	тип (m) (tip)
subcontinent	субконтинент (subkontinént) (m)
subject	подданный (póddannyj) (m)
subject	предмет (predmét) (m)
subject	предмет (predmét) (m)
subject	предмет (predmét) (m)
subjunctive	сослагательное наклонение (soslagátel’noje naklonénije) (n)
subliminal message	25-й кадр (25-y kadr)
submachine gun	[автомат (avtomát) (m)
submarine	подводная лодка (f) (podvodnaya lodka)
submit	представлять (predstavlját’)
subscribe	подписываться (podpísyvat’sja)
subsequent	последующий (poslédujuščij)
subset	подмножество
substance	вес (ves) (m)
substance	вещество (veščestvó) (n)
substance	вещество (veščestvó) (n)
substantial	существенный (suščéstvennyj)
substitute	заменять (zamenját’)
subtlety	тонкость (tónkost’) (f)
subtract	вычитать / вычесть (vyčitát’, výčest’)
subway	метрополитен (metropolitɛ́n)) (m), метро (metró)(n) (1)
success	успех (uspéχ) (m)
such	такой (takój)
such-and-such	то-то и то-то
suchlike	такой (takój)
suck	сосать (sosát’) "(vulgar)", отстой (otstój) "(noun)"
suck	сосать (sosát’), всасывать (vsásyvat’)
sudden	неожиданный (m), неожиданная (f), неожиданное (n)
suddenly	вдруг (vdrug), неожиданно (neožídanno)
sudoku	судоку) (n)
suffer	страдать (stradát’)
sufficient	достаточный (dostátočnyj)
sugar	сахар (sáχar) (m)
suggest	предлагать (predlagát’)
suicide	самоубийство (samoubíjstvo) (n), суицид (suitsíd) (m)
suit	костюм (kostjúm) (m)
suitcase	чемодан (čemodán) (m)
sulfur	сера (séra) (f)
sullen	печальный
sullen	плохое настроение (n)
sum	сумма (súmma) (f)
sum up	подвести итог
summarize	обобщать (obobščát’)
summer	лето (léto) (n)
summon	вызывать (vyzyvát’)
sun	солнце (sólntse) (n)
sun shower	(gribnoi dozhd'), (slepoj dozhd')
sundial	солнечные часы /sóln'ečnyje časý/ (p)
sundown	заход солнца (zaχód sólntsa) (m), закат (zakát) (m), вечерняя) заря ((večérnjaja) zarjá) (f)
sunflower	подсо́лнечник (podsólnečnik) (m)
sunglasses	солнечные очки (sólnečnyje očkí) "n/pl", тёмные очки (tjómnyje očkí) "n/pl"
sunrise	восход солнца (vosχód sólntsa) (m), утренняя) заря ((útrennjaja) zarjá) (f), рассвет (rassvét) (m)
sunrise	заря (zarjá) (f), рассвет (rassvét) (m)
sunset	закат (zakát) (m)
sunset	заход солнца (zaχód sólntsa) (m), закат (zakát) (m), вечерняя) заря ((večérnjaja) zarjá) (f)
sunset	заход солнца (zaχód sólntsa) (m), закат (zakát) (m), вечерняя) заря ((večérnjaja) zarjá) (f)
sunup	восход солнца (vosχód sólntsa) (m), утренняя) заря ((útrennjaja) zarjá) (f), рассвет (rassvét) (m)
sunup	заря (zarjá) (f), рассвет (rassvét) (m)
supercontinent	праматерик (prámaterík) (m)
supergiant	сверхгигант (sv'erχgigánt) (m)
superior	высший (výsšij)
superlative	превосходная степень (prevosχódnaja stépen’) (f)
supermarket	супермаркет
supernova	сверхновая
superpower	сверхдержава (sv'erχd'eržáva) (f)
superstition	суеверие, пристрастие
supper	ужин (úžin) (m)
supper	ужин (úžin) (m)
supper	ужинать (úžinat’)
supply	снабжать (snabžát’)
support	поддержка (poddéržka) (f)
suppose	полагать (polagát’)
suppose	предполагать (predpolagát’)
suppress	подавлять (podavlját’)
supreme	высший, высшая, высшее (výsšij, výsšaja, výsšee) "m/f/n"
suprême	высший, высшая, высшее (výsšij, výsšaja, výsšee) "m/f/n"
sure	уверенный (uvérennyj)
surely	конечно (konéčno)
surface	всплывать (vsplyvát’)
surface	всплывать (vsplyvát’), выясняться (vyjasnját’sja)
surface	поверхность (povérχnost’) (f)
surface tension	поверхностное натяжение (pov'érχnostnoje nat'ažénije) (n)
surface tension	поверхностное натяжение (pov'érχnostnoje nat'ažénije) (n)
surgery	хирургия (χirurgíja) (f)
surname	фамилия (f) (familiya)
surplus	излишек (izlíšek) (m), избыток (izbýtok) (m)
surprise	внезапный (vn'ezápnyj) "adj"
surprise	сюрприз (s'urpríz) (m)
surprise	удивление (udivl'énije) (n)
surprise	удивлять/удивить (udivlját’/udivít')
surrender	сдаваться (sdavát’sja)
surrogate mother	суррогатная мать (surrogatnaya mat)
surround	окружать (okružát’)
suspect	подозревать (podozrevát’)
suspicion	подозрение (podozrénije) (n)
suspicious	подозрительный
swallow	глотать (glotát’)
swallowtail	ласточкин хвост (lástočkin χvost) (m)
swallowtail	парусник (párusnik) (m)
swallowtail	фрак (frak) (m)
swan	лебедь (lébed’) (m)
swarm	стая, рой, косяк
swastika	свастика (svástika) (f)
sweat	вкалывать (vkályvat'), горбатиться (gorbátit's'a), ишачить (išáčit'), мантулить (mantúlit'), пахать (paχát')
sweat	пот (m) (pot)
sweat	потеть/вспотеть (pot'ét'/vspot'ét')
swede	брюква (brjúkva) (f)
swede	брюква (brjúkva) (f)
sweep	подметать, мести
sweep	прочёсывать (proch'yosivat)
sweet	("water") пресный (pr'ésnyj)
sweet	милый (mílyj)
sweet	милый (mílyj)
sweet	сладкий (sládkij)
sweet	сладкий (sládkij)
sweet	сладкий (sládkij)
sweet	сладкий (sládkij)
sweet	сладкозвучный (sladkozvúčnyj), мелодичный (m'elodíčnyj)
swift	стриж /striž/ (m)
swim	плавать (plávat’)
swimming trunks	плавки (plávki) (p)
swimsuit	купальный костюм (kupál’nyj kostjúm) (m), купальник (kupál’nik, "women's") (m), плавки (plávki, "men's") (p)
swing	качать (kačát’)
switch	выключатель (vykl'učát'el') (m) "on/off", переключатель (p'er'ekl'učát'el') (m)
switch	коммутатор (kommutátor) (m)
switch	стрелка (str'élka) (f)
switch	хлыст (χlyst) (m)
sword	меч (meč) (m), шпага (špága) (f)
sword of Damocles	дамоклов меч (damóklov meč) (m)
swordfish	рыба-меч (rýba-méč) (f)
syllable	слог (m) (slog)
syllogism	силлогизм (m)
symbol	символ (símvol) (m)
symbol	символ (símvol) (m)
symbol	символ (símvol) (m), эмблема (embl'éma) (f), знак (znak) (m)
symbol	символ (símvol) (m), эмблема (embl'éma) (f), знак (znak) (m)
sympathy	симпатия (simpátija) (f) (1), приязнь (prijázn') (f) (1), сочувствие (sočúvstvije) (n) (3)
symptom	признак, симптом
synagogue	синагога (sinagóga) (f)
synchronize	синхронизировать (sinχronizovát')
synchronous	синхронный (sinχrónnyj)
synopsis	конспект (m), краткий обзор (m); синопсис (m)
synthesizer	синтезатор (sintezator)
syphilis	сифилис (sífilis) (m)
system	система (sistéma) (f)
syzygy	сизигия (sizígiya) (f)
table	стол (stol) (m)
table	таблица (tablítsa) (f)
table	таблица (tablítsa) (f)
table football	кикер (kíker) (m), настольный футбол (nastól’nyj futból) (m)
table tennis	настольный теннис (nastólnyj ténnis) (m), пинг-понг (ping-pong) (m)
tablespoon	столовая ложка (f)
tablet	таблетка (tablétka) (f) (1), плита (plitá) (f) (2)
tachyon	тахион (taχión) (m)
tad	немного (nemnógo)
tadpole	головастик (golovastik) (m)
tail	решка (r'éška) (m)
tail	хвост (χvost) (m)
tail	хвост (χvost) (m)
tail	хвост (χvost) (m)
tail	хвост (χvost) (m)
tailor	портной (portnój) (m), портниха (portníχa) (f)
take	брать / взять (brat’ / vz'at’), хватать/схватить (χvatát'/sχvatít')
take	брать / взять (brat’ / vzjat’)
take	брать/взять (brat’ / vzjat’)
take	брать/взять (brat’ / vzjat’)
take	брать/взять (brat’ / vzjat’)
take	брать/взять (brat’ / vzjat’), захватывать/захватить(zaχváyvat'/zaχvatít')
take	дубль (m)
take	принимать/принять (prinimát'/prin'át’)
take a breather	передохнуть
take a leak	отлить (otlít’); пойти по-маленькому (pojtí po-málen’komu)
take it out on	излить свой гнев на кого-либо/что-либо
take part	принимать участие
take the bull by the horns	взять быка за рога
take the offensive	перейти в наступление
take the reins	брать бразды правления (brat’ brazdý pravljénija)
take to heart	[принимать (что-либо) близко к сердцу
take turns	сменяться, чередоваться
take up the gauntlet	поднять перчатку,принять вызов
talent	талант (talánt) (m)
talk	говорить (govorít’)
talk	разговор (razgovór) (m) (1), беседа (beséda) (f) (1,3)
tall	высокий (vysókij)
tame	приручённый (priručónnyj)
tan	бежевый (цвет) (béževyj tsvet) (m)
tan	загар (zagár) (m)
tan	загорать (zagorát’) "impf.", загореть (zagorét’) "pf."
tan	загорелый (zagorélyj) (m)
tandem	гуськом, цугом
tandem	тандем
tangent	тангенс
tank	бак (bak) (m)
tank	танк (tank) (m)
tantamount	равноси́льный (ravnos&amp;iacute;l'neey)
tantrum	истерика (f), приступ гнева (m)
tape	лента (lénta) (f)
tape recorder	магнитофон (magnitofón) (m)
tapir	тапир (tapír) (m)
tarantella	тарантелла (f)
task	задача (zadáča) (f)
taste	вкус (vkus) (m)
tasty	вкусный (m), вкусная (f), вкусное (n), вкусные (p)
tau	тау (tau)
taunt	колкость (f) (kolkost')
taunt	насмехаться (nasmekhat'sya)
tawny owl	неясыть серая (nejasyt' seraja)
tax	налог (nalóg) (m)
taxi	такси (taksí) (n)
taxonomy	таксономия (taksonómija) (f)
tea	полдник (póldnik) (m)
tea	чай (čaj) (m), чаи (čaí) (p)
tea	чай (čaĭ) (m)
tea	чай (čaĭ) (m), чаи (čaí) (p)
tea	чашка чая (čáška čája) (f), чашка чаю (čáška čáju) (f)
tea	чашка чая (čáška čája) (f), чашка чаю (čáška čáju) (f)
tea leaf	чайный лист (čájnyj list) (m), чайные листья (čájnyje líst’ja) (p)
teach	учить (učít’)
teacher	учитель (učítel’) (m), учительница (učítel’nitsa) (f)
teak	тик (tik) (m)
teak	тик (tik) (m)
teal	чирок (čirók) (m)
team	команда (kománda) (f)
tear	нестись (n'estís')
tear	отрывать/оторвать (otryvát'/otorvát')
tear	разрыв (razrýv) (m)
tear	рвать/порвать (rvat’/porvát'), разрывать/разорвать (razryvát'/razorvát')
tear	рваться/порваться (rvat’s'a/porvát's'a),
tear	слеза (slezá) (f)
tease	дразнить (draznít’)
teasel	ворсянка (vors'ánka) (f)
teat	центрик (m) (tsentrik)
tedder	сеновороши́лка (senovorošílka) (f)
teddy bear	плюшевый мишка (m)
tedious	нудный, скучный, утомительный
teenager	подросток "(podrostok)"
telegram	телеграмма (telegrámma) (f)
telephone	телефон (telefón) (m)
telephone	телефонировать (telefonírovat’)
teletsunami	телецунами (teletsunámi) (n)
television	телевидение (televídenije) (n)
television	телевидение (televídenije) (n)
television	телевизор (televízor) (m)
tell	сказать (skazát’)
tell it to Sweeney	расскажи это своей бабушке, расскажи это кому-нибудь другому, ври больше
tell it to the marines	расскажи это своей бабушке, расскажи это кому-нибудь другому, ври больше
tellurian	землянин "m&quot;, "житель Земли" (m)
tellurian	теллурический,  земной, "относящийся к Земле"
tellurium	теллур (tellúr) (m)
temperature	температура (temperatúra) (f)
template	шаблон (m) (shablon)
temple	висок (visók) (m)
temple	храм (χram) (m)
temporarily	временно (vr'ém'enno) (1,2)
temporary	временный (vrémennyj)
temptation	искушение (iskušénije) (n)
ten	десятка (desjátka) (f)
ten	десять (désjat’)
ten thousand	десять тысяч (
tench	линь /lin'/ (m)
tendency	тенденция (tendéntsija) (f)
tender	нежный (néžnyj)
tendon	сухожилие (suχožílije) (n)
tennis player	теннисист (tennisíst) (m), теннисистка (tennisístka) (f)
tent	палатка (palátka) (f)
tenth	десятый ("abbreviation" 10-ый)
tepid	тепловатый
term	слагаемое (slagájemoje) (n)
term	термин (t'érmin) (m)
term	триместр (trim'éstr) (m)
terminate	завершать, кончать
tern	крачка /kráčka/ (f)
terrible	ужасный (užásnyj)
terrier	терьер /ter'jér/ (m)
terror	ужас (úžas) (m), ужасы (úžasy) (p)
terrorist	террорист (terroríst) (m), террористка (terrorístka) (f), террористы (terrorísty) (p)
test	проба (próba) (f)
test	экзамен (ekzámen) (m)
test the waters	прощупать почву
testament	завет (zav'ét) (m)
testament	завет (zav'ét) (m)
testicle	яичко (jaíčko) (n)
testimony	показание (pokazánije) (n)
tetanus	столбняк (stolbn'ák) (m)
textbook	учебник (učébnik) (m)
than	чем (čem)
thank	благодарить
thank you	спасибо (spasíbo), благодарю (blagodar’ú))
thank you very much	большое спасибо (bol'šóje spasíbo)
thanks	благодарность (blagodárnost’) (f)
thanks	благодарность (blagodárnost’) (f)
thanks	спасибо) (spasíbo), благодарю) (blagodaryu)
that	который / которая / которое / которые (kotóryj/kotóraja/kotóroje/kotóryje) "m/f/n/pl", что (što)
that	тот / та / то / те (tot/ta/to/te) "m/f/n/pl"
that	что (što)
that	это (éto)
that'll be the day	когда рак на горе свистнет
thaumaturge	волшебник (m)
the	"not used"
the apple doesn't fall far from the tree	яблочко от яблоньки недалеко падает (jábločko ot jáblon'ki n'edal'ekó pádajet)
the early bird gets the worm	кто рано встаёт, тому бог подаёт
the grass is always greener on the other side	Соседняя очередь всегда движется быстрее
the grass is always greener on the other side	Трава всегда зеленее по другую сторону забора [assumption: ...on the other side "'of the fence"']; This is not necessarily an idiomatic expression in Russian, though. An analogue of this idiom is the following: &quot;Соседняя очередь всегда движется быстрее&quot; ["The other queue always moves faster"; derived from w:Murphy's Murphy's laws].
the other day	на днях
theater/homonyms	театр (teátr) (m)
theft	кража (kráža) (f)
their	их (iχ)
theism	теизм (teízm) (m)
them	их (iχ), им (im), ими (ími)
theme	тема (téma) (f)
themselves	себя (sebjá)
then	затем (zat'ém), потом (potóm)
then	затем (zat'ém), потом (potóm)
then	тогда (togdá)
then	тогда (togdá)
then	тогда (togdá)
theodicy	теодицея
theory	теория (teórija) (f)
theory	теория (teórija) (f)
theory	теория (teórija) (f)
theory	теория (teórija) (f)
there	там (tam)
there	туда (tudá)
therefore	поэтому (poétomu)
thermodynamics	термодинамика (t'ermodinámika) (f)
thermometer	термометр (termómetr) (m)
these	эти (éti)
these	эти (éti)
they	они (oní)
thick	в толщину (v tolščinú)
thick	густой (gustój)
thick	густой (gustöj)
thick	гуща (gúšča) (f)
thick	толстый (tolstyj)
thick	толстый (tólstyj)
thick	тупой (tupój)
thief	вор (vor) (m)
thigh	бедро (b'edró) (n)
thimble	коуш (kóuš) (m)
thimble	муфта (múfta) (f), втулка (vtúlka) (f)
thimble	напёрсток (nap'órstok) (m)
thimble	напёрсток (nap'órstok) (m)
thin	тонкий (tónkij)
thing	вещь (vešč’) (f)
thing	вещь (vešč’) (f)
thingy	штучка (štúčka) (f), штуковина (štukóvina) (f)
think	думать (dúmat’)
think	думать (dúmat’)
think	думать (dúmat’), обдумывать (obdúmyvat')
think	думать (dúmat’), полагать (polagát')
think over	обдумать
thinker	мыслитель
third	третий ("abbreviation" 3-ий)
third person	третье лицо (trét’je litsó) (n)
thirst	жажда (žážda) (f)
thirteen	тринадцать (trinádtsat’)
thirteenth	тринадцатый ("abbreviation" 13-ый)
thirty	тридцать (trídtsat’)
thirty-eight	тридцать восемь (trídtsat’ vósem’)
thirty-five	тридцать пять (trídtsat’ pjat’)
thirty-four	тридцать четыре (trídtsat’ četýre)
thirty-nine	тридцать девять (trídtsat’ dévjat’)
thirty-one	тридцать один (trídtsat’ odín)
thirty-seven	тридцать семь (trídtsat’ sem’)
thirty-six	тридцать шесть (trídtsat’ šest’)
thirty-three	тридцать три (trídtsat’ tri)
thirty-two	тридцать два (trídtsat’ dva)
this	это (éto)
this	этот (étot) (m), эта (éta) (f), это (éto) (n), эти (éti) (p)
thither	туда (tudá)
thou	ты (ty)
thought	мысль (mysl’) (f)
thousand	тысяча (týsjača) (f)
thread	нить (nit’) (f)
threat	угроза (ugróza) (f)
three	три (tri)
three	тройка (trójka) (f)
three degrees of comparison	три степени сравнения (tri stépeni sravnénija) (f)
three-dimensional	трехмерный
threshold	порог (porog)
thrice	трижды (tríždy), три раза (tri ráza)
throat	горло (górlo) (n)
throat	горло (górlo) (n)
throat	горло (górlo) (n), горлышко (górlyško) (n)
throne	престол (pr'estól) (m)
throne	трон (tron) (m), престол (pr'estól) (m)
through	через (čérez)
through the roof	до небес
throw	бросать (brosát’)
throw the baby out with the bathwater	выплеснуть ребёнка вместе с водой
thrush	дрозд
thrust	толчок
thumb	большой палец (bol'šój pál'ec) (m)
thumb one's nose	показать нос
thunder	гром (grom) (m), грохот (gróχot) (m)
thus	так (tak)
thus and so	имярек,такой-то
thus and so	так-то и так-то
thwart	банка (bánka) (f)
thwart	мешать исполнению (mešát’ ispolnéniju); расстраивать / расстроить (rasstráivat’ / rasstróit’)
thyme	тимьян /tim'ján/ (m), чабрец /čabr'éc/ (m)
tick	клещ (kl'ešč) (m)
ticket	билет (bilét) (m)
tidal	приливный (m), приливная (f), приливное (n), приливные (pl)
tidal wave	океаническая волна
tidal wave	прилив (m)
tidal wave	приливная волна (f)
tidal wave	цунами (n)
tiddlywinks	игра́ в бло́шки ("igra v bloshki")
tide	прили́в (m)
tie	галстук (gálstuk) (m)
tie	равный счёт (rávnyj sčot) (m)
tie	связывать (svjázyvat’)
tiger	тигр (tigr) (m)
tiger shark	тигровая акула (tigróvaja akúla) (f)
till	до (do)
till	пахать (paχát’)
till	пока не (poká ne), до тех пор (do teχ por)
time	время (vrémja) (n)
time	время (vrémja) (n)
time	время (vrémja) (n), "archaic" час (čas) (m)
time	раз (ras) (m)
time	срок (srok) (m)
time immemorial	незапамятные времена /n'ezapám'atnyje vr'emená/ (p)
time zone	часовой пояс (časovój pójas)
timid	робкий (róbkij)
tin	жесть (žest’) (f)
tin	жестянка (žestjánka) (f)
tin	консервировать (konservírovat’)
tin	лудить / полудить (ludít’ / poludít’)
tin	олово (ólovo) (n), станнум (stánnum) (m)
tin	оловянный (olovjánnyj)
tine	зубец (zubéts) (m)
tip of the iceberg	верхушка айсберга
tip one's hand	раскрыть карты
tire	шина (šína) (f)
tired	усталый (ustályj)
tit	синица (f) (sinítsa)
tit	титька (f) (tít'ka)
titanium	титан (titán) (m)
title	заглавие (zaglávije) (n)
